"","L2/3 IT_ALZ","L2/3 IT_CON","L5_ALZ","L5_CON","L6 IT_ALZ","L6 IT_CON","L4 IT_ALZ","L4 IT_CON","L6 CT_ALZ","L6 CT_CON","L6b_ALZ","L6b_CON","L5/6 NP_ALZ","L5/6 NP_CON","L6 IT Car3_ALZ","L6 IT Car3_CON","Lamp5_ALZ","Lamp5_CON","Lamp5 Lhx6_ALZ","Lamp5 Lhx6_CON","Pvalb_ALZ","Pvalb_CON","Chandelier_ALZ","Chandelier_CON","Pax6_ALZ","Pax6_CON","Sncg_ALZ","Sncg_CON","Sst Chodl_ALZ","Sst Chodl_CON","Sst_ALZ","Sst_CON","Vip_ALZ","Vip_CON"
"LINC00299",0.49464453479246,0.552414545207937,0.731703907239675,0.771010443003116,0.967576508281096,1.03254828726528,0.270545890011666,0.350333486190855,0.284564786449203,0.300956684176393,0.128905657185129,0.121011162913123,0.0460617339069193,0.040492312043114,0.390050568829285,0.445473210276844,0.688355802600063,1.0639422925538,0.455190166241705,0.597305652362848,0.0340096819240166,0.0326907611980418,0.144446345651226,0.160421221001634,0.365733249278008,0.295590838720632,0.207480198095653,0.323053377345928,0,0,0.0107839246806891,0.0278146999088798,0.112617031740933,0.139477290768351
"HS3ST5",0.353341979805356,0.573492993177655,1.00833854089761,1.22994019643355,2.25199746735187,2.3786258860792,0.731204946971919,1.05328271950301,0.794139405034675,1.12903680761489,1.83766401927155,2.27401904773343,0.1678536683321,0.265258971568757,0.513099430894559,0.649934642782835,2.05891187689198,2.37815033841891,1.3297334363905,1.18757342435176,0.235347828811976,0.287220791314086,0.747586503909652,0.96685755831524,2.30345000647291,1.75585752032524,1.40888995375515,1.78828591918482,0.718213319778442,0,0.100172751299713,0.09600992559448,0.50465121926212,0.80474343766786
"PDGFD",0.377388764389051,0.387447408259472,0.0287351058726683,0.0280675788125592,0.113702153828846,0.110419635385076,0.0186122309438403,0.0201728589201655,0.0445759576507831,0.0131470179458044,0.0121898126889424,0.0346021393472834,0.0431988313794136,0.086413917288316,0.0296364364448501,0.0826028930806668,1.1802945759759,1.4626194192327,3.60173176776218,3.80401172669105,0.16378115085251,0.153387024572014,0.025481849719005,0.0914196968078613,0.0265929940380628,0.120213187018106,0.0839537155529684,0.0542073712765592,0,0,0.0270412880117479,0.0204188659435182,0.0620213251383186,0.0597090927732259
"EYA4",0.116611462870612,0.0507127372739471,0.146228625768776,0.108627613036536,0.038030603051658,0.0162100060479944,0.0417787016837797,0.018723122226392,0.0760781013521561,0.0631641782976095,0.0286161791847413,0.0434514404267304,0.128550843759017,0.0858647886630708,0.0245093886106292,0.0183333247621483,2.04120365541373,2.79888906411484,3.20243724860714,3.70648687649396,0.120767905618548,0.126879900535875,0.061262452678316,0.193660057864143,0.596601483188098,0.892436149508454,0.0449960143112939,0.0366248297459871,0,0.683621263504028,0.223494487288206,0.232467328469584,0.212432594122882,0.26829599301158
"SLIT2",2.41761455192583,2.70961658194243,1.74889140973041,1.98265981999383,0.867732501880338,0.837842118235633,1.31650469605237,1.62757800462091,1.51130333636757,1.43722190368126,0.42740905931197,0.220002658145372,0.498508937656879,0.278674510727941,0.376294834116485,0.514457427452658,0.891136819746957,1.32878624087088,4.04102303483392,4.10751121184405,3.7619099677063,4.05416278090735,2.82832868995181,2.59105843016245,0.28069041197813,0.423438596171002,0.321999753802276,0.504744949850064,0.849797129631042,1.20019888877869,1.63599057689957,1.4828260789706,1.08368549908728,1.2877337527647
"PPARGC1A",0.986102755821335,1.28846377727584,0.645035010256145,0.818463036796687,0.850354526757879,1.06402355246661,0.777452466422564,0.963186316626562,0.811430368519103,0.834291266098182,1.05668841858944,0.960586405077646,0.473002794114026,0.512452194121032,0.549841290968327,0.593474741851058,0.101480238473237,0.168683248358144,0.314336807714344,0.403954043107874,1.62527836032548,2.15996167730552,1.66734382756956,1.72918808344498,0.102892338475095,0.279958525369334,0.252027055941337,0.185337467101014,0,0,0.443426040851552,0.550695578413685,0.419311799696613,0.529673527596935
"CA8",0.0821944581084273,0.0702118094140124,0.270877945871738,0.213572862857354,0.136505232147056,0.0915065228540807,0.267024812224793,0.16132390105685,0.0732888881661489,0.0943584342381944,0.026484963046499,0.0286899435427762,0.302549603310498,0.101378037866238,0.107655956701267,0.0633118158188936,0.396649192518263,0.315367879800156,1.51521595588512,1.71462773185929,0.275240308999596,0.290683116032994,2.80565675656507,3.18462911392879,0.152445406853398,0.109388598175936,0.0376905296459671,0.0266532330837065,0,0,0,0.010271414058415,0.344985003828886,0.36692815450903
"NPNT",0.0162743479088663,0.0071017945481238,0.118007746690491,0.111262782763737,0.0192936254933457,0.0100214371171454,0.0137870057455014,0.00598085070862891,0.0455986138401195,0.0350474722714604,0.118398827960692,0.1993150230526,0,0,0.58807459418759,0.482753372638025,0.168997747684593,0.450465238557687,0,0.0630768233654546,0.102602912797241,0.099107757985023,1.35138125935937,1.59733588487199,0.194178532950486,0.166087383447691,0.277447257160155,0.125836514153527,0.600567430257797,0.501392412185669,0.0563972155037134,0.0519371685080641,0.0174662690780179,0.0359055049704514
"SORCS3",1.08998679684485,1.6259134085936,1.83332131851519,1.9678973809767,1.65257544537989,1.73286119972943,0.693492953208095,0.851821227829055,1.97345636977166,2.34401078703014,2.95598854645189,2.90634872469791,0.276517396623438,0.229537699074872,3.10246492931448,3.1929335950691,1.40805999645546,1.63871920066672,0.819757250069225,0.748574877876082,0.464329696637396,0.704091483310323,0.106913534698972,0.0480365753173828,3.77957733673385,4.13354384621908,1.92017668928982,2.38420002668807,0,0,0.10503257519525,0.0981385128235254,1.75732389443573,2.29832345464201
"SLC35F4",0.0925270510496123,0.0371717823582275,0.101683527850394,0.0599871280585141,0.0326026663912492,0.0387044138791566,0.109502467740539,0.16540524078281,0.168125092812459,0.0801767016055694,0.274782015975699,0.226202068402786,0.124096245928244,0.0865606111762798,0.120181498717677,0.0591086784255839,1.37513314610097,1.44271541400006,2.30154676356558,2.16829013902377,1.23712222905765,1.58077266979824,1.42692663715144,1.06561750347174,2.8958439223374,3.21449028891186,1.1947977326133,1.58340424357109,0,1.10146245956421,0.222775310277939,0.219067464428624,1.25696247949572,1.36432447445868
